company,ts_code,priority,pe_ttm,pb,pe_3y_level,pb_3y_level,pe_pb_pattern,q1_net_income,q1_oper_cf,q1_cf_to_ni,ar_yoy,inv_yoy,ar_to_rev,inv_to_rev,bs_warning,rzye,circ_mv_yuan,rz_to_float,hot_days,limit_events,net_flow_yi,hsgt_days,margin_delta_yi,diverge_tags,consensus_tags,diverge_score,research_priority_score,snapshot_generated_at,source_reference_date,source_margin_date,source_fin_date
思特威-W,688213.SH,P0,36.8885,7.071,<p50,<p50,估值健康,236746699.09,441976457.75,1.8668748474587231,1.0179540692215916,0.15073131936672057,0.8188904627107718,1.899542535502234,应收暴增,1550041064.0,31043971620.0,0.04993050125717129,0,0,8.5772,0,4.29602804,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
蓝特光学,688127.SH,P0,74.884,15.162,p75-p90,>p90,资产重估型,129548549.84,232287256.3,1.7930517677495292,0.6545338715781626,0.2650358248257842,0.8159083483533696,0.6226390540966692,应收暴增,1125099927.0,35406456371.0,0.03177668827433191,0,0,-13.521614999999999,0,8.49500636,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
亿道信息,001314.SZ,P0,76.8701,3.9993,<p50,>p90,资产重估型,42911333.55,-506179117.13,-11.795930707681306,1.7115407369805924,1.1005649320105435,0.5312693165211244,1.3373055319192386,应收暴增 | 存货暴增,,,,1,2,2.0838740000000002,0,0.0,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华勤技术,603296.SH,P0,28.1603,4.4944,p75-p90,>p90,资产重估型,1060584628.61,575696187.99,0.5428102316969332,0.23315457927403954,0.49897628628753593,0.809847606202522,0.4443142828710939,存货增长偏快,1381073754.0,63376586496.0,0.02179154527495996,2,2,-32.642225,0,3.8554076,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
汇顶科技,603160.SH,P0,36.3347,2.9406,<p50,<p50,估值健康,117189625.48,-43560769.74,-0.3717118265510136,-0.052239937688731364,0.4313832072767911,0.5244721143875829,0.8327107479765186,存货增长偏快,1160037171.0,27575839692.0,0.04206715675593869,0,0,-21.926635,0,-1.23045188,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
国科微,300672.SZ,P0,,17.7443,N/A,>p90,N/A,54940352.13,242168384.31,4.407841867066679,0.18277490328504067,-0.31061069982006584,0.9780436026200799,1.111746173888805,,,,,0,0,91.425349,0,3.72930704,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
富瀚微,300613.SZ,P0,74.1691,5.4784,>p90,p75-p90,利润压缩型,85076411.2,56878687.7,0.6685600261897272,0.7523834355001654,0.13799772983579547,0.7035870883454929,1.0073516789385537,应收暴增,,,,1,1,-2.268728,0,0.64567778,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
星宸科技,301536.SZ,P0,100.2781,14.8495,p50-p75,>p90,资产重估型,220214457.13,-15480954.44,-0.07029944646577437,0.47812622031395074,0.7297629546943922,0.24752660730130652,1.2247051205157786,应收增长偏快 | 存货暴增,,,,0,0,16.270182000000002,0,1.41171395,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
瑞芯微,603893.SH,P0,65.3128,16.0473,<p50,p50-p75,估值健康,329194658.46,382507658.14,1.1619497713887663,0.3537563189656402,0.6929574343199133,0.3019725997181455,1.0814800372838245,应收增长偏快 | 存货暴增,1943549710.0,75726385866.0,0.025665422795155796,0,0,-16.302909,0,-2.05039292,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
寒武纪,688256.SH,P0,336.9247,71.1207,p50-p75,p75-p90,估值健康,1013213581.94,833967832.1,0.8230918406198245,0.5097928629879598,0.6320918665971594,0.4226291328393723,1.5588151389863352,应收暴增 | 存货暴增,25973396280.0,915416618070.0,0.028373306500334768,18,1,98.10804300000001,43,108.14125034,沪深港通 Top10 显著高于热榜,,1,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
圣邦股份,300661.SZ,P0,138.9796,15.5278,>p90,>p90,多重扩张,123692813.99,47692844.81,0.3855749034366358,1.2180837040172396,0.36065013488873043,0.29561412418332195,1.4498153870954797,应收暴增 | 存货增长偏快,,,,0,0,37.232510999999995,0,-8.75774844,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
思瑞浦,688536.SH,P0,180.7179,7.4667,<p50,>p90,资产重估型,105400509.6,199248550.29,1.890394563044883,0.3820232540277035,0.6274366336597038,0.4577839910383072,0.7701587195243503,应收增长偏快 | 存货暴增,1261510240.0,46663256000.0,0.02703433810962527,0,0,10.204659,0,5.41796094,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
优迅股份,688807.SH,P0,391.0888,20.133,>p90,>p90,多重扩张,26574260.24,29623519.6,1.1147448445398382,,,,,,787577236.0,7240000000.0,0.1087813861878453,0,1,-21.719566,0,1.9947023,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
睿创微纳,688002.SH,P0,48.2027,9.8727,p50-p75,>p90,资产重估型,478742205.72,934221800.12,1.9514088980623414,-0.009450823359159654,0.07928177832434344,0.6595507854453505,1.0206131268643293,,1158727547.0,70257779150.0,0.016492516003475184,0,1,10.672087,0,6.11084969,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
三环集团,300408.SZ,P0,104.0051,13.3584,>p90,>p90,多重扩张,790899567.77,156685303.42,0.19811024029484026,0.320992812924835,0.20217259926080536,0.8838418560845345,0.973505020188988,应收增长偏快,,,,4,0,17.900415,0,18.40294734,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
北方华创,002371.SZ,P0,96.8432,13.7424,>p90,>p90,多重扩张,1634739048.68,748055666.52,0.45759943590020147,0.2623241640285004,0.13453063670751556,0.8505662598000547,2.7708297266964146,,,,,5,0,-45.881516,31,0.74069148,沪深港通 Top10 活跃、热榜较低,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华峰测控,688200.SH,P0,143.9454,19.5309,>p90,>p90,多重扩张,94207344.56,-16803486.42,-0.1783670529986967,0.48644819228957725,0.768825830079885,1.9414640036284874,1.417831460432612,应收增长偏快 | 存货暴增 | 应收超单季收入,451465871.0,81814583290.0,0.0055181589008372,0,0,28.433972999999998,0,0.87683005,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
中芯国际,688981.SH,P0,231.2296,7.788,>p90,>p90,多重扩张,1361209000.0,5131729000.0,3.7699787468346155,0.1611134264595496,0.24110227384963182,0.3482296694063728,1.540669531364146,,13320458149.0,291116304375.0,0.04575648271434952,8,0,98.256852,0,-3.50012017,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华虹宏力,688347.SH,P0,986.0955,10.7529,p75-p90,>p90,资产重估型,139562597.0,911282349.92,6.529559993212221,0.03794134654604558,0.05140348983878148,0.39048386101847105,1.1253089785960364,,3005395893.0,114170000000.0,0.026323866979066305,2,1,90.822395,0,8.32923914,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
甬矽电子,688362.SH,P0,387.5139,12.4414,>p90,>p90,多重扩张,26607565.62,391423150.97,14.710971930321223,0.15541189426654226,0.553922022555326,0.6780630900773451,0.4976454949510272,存货暴增,1422938113.0,32448044441.999996,0.0438528157079994,1,2,-9.485799,0,9.47364283,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
伟测科技,688372.SH,P0,78.3183,6.5281,p75-p90,>p90,资产重估型,70857990.43,252898873.03,3.5690946284997542,0.7472387224377774,3.6992501192391885,1.1029901682534458,0.07064946242944606,应收暴增 | 存货暴增 | 应收超单季收入,757755477.0,27265619364.0,0.027791610631831016,0,0,4.511074,0,0.83725781,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
东芯股份,688110.SH,P0,25784.7012,19.6057,>p90,>p90,多重扩张,138284520.98,40906554.15,0.29581441118718044,0.8903582967432315,0.29611981134276383,0.39272326328062224,2.4893704203966744,应收暴增,3362409412.0,70461872272.0,0.0477195581607636,2,2,-11.178838,0,-1.10989105,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
兆易创新,603986.SH,P0,168.2124,19.1328,p75-p90,>p90,资产重估型,1461248353.08,1783057278.72,1.220228768752208,0.16269881954466384,0.38339267534495236,0.06841813720032534,0.8121722256455903,存货增长偏快,21561712734.0,460612548904.0,0.04681095377298079,59,5,11.254601,49,144.70890835,,热榜与沪深港通 Top10 同时活跃,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
北京君正,300223.SZ,P0,150.0503,7.3317,>p90,>p90,多重扩张,318979317.55,216688772.89,0.6793191939663424,0.5015860067140817,0.14313923254687877,0.4090515997918034,1.8836344270412386,应收暴增,,,,4,0,71.357576,1,7.03785575,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
生益科技,600183.SH,P0,114.0839,24.9988,>p90,>p90,多重扩张,1158139324.56,571567196.77,0.493521966355084,0.2848732645907603,0.1873628447953329,1.2062475220439413,0.8161485336562538,应收超单季收入,4694579396.0,441785526750.0,0.010626376627898438,26,5,-8.872893,2,31.62908297,高热度+净流出,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
南亚新材,688519.SH,P0,239.1986,30.6294,>p90,>p90,多重扩张,150132663.11,-66130126.72,-0.4404779436407347,0.8671241621462392,0.7221210785935388,1.5886933125588136,0.3998241461776272,应收暴增 | 存货暴增 | 应收超单季收入,1030997938.0,88345517260.0,0.011670065103199102,0,0,8.075483,0,8.20210468,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
沪电股份,002463.SZ,P0,64.9786,16.6489,>p90,>p90,多重扩张,1242081367.0,511016585.0,0.4114195724828066,0.621628657203406,0.7554927980772326,1.0422085906538736,0.7906799940303917,应收暴增 | 存货暴增 | 应收超单季收入,,,,44,4,-25.060048000000002,16,31.06728911,高热度+大额净流出,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
广合科技,001389.SZ,P0,77.7243,12.5931,>p90,>p90,多重扩张,392553470.97,320023445.43,0.8152352968354138,1.2529344007456285,0.9426025315975027,1.1362754483595976,0.5004700732464366,应收暴增 | 存货暴增 | 应收超单季收入,,,,0,9,-18.046906,0,5.18123969,涨停频繁但未上榜,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
大族数控,301200.SZ,P0,160.8619,14.7993,>p90,>p90,多重扩张,322917809.55,-645629809.3,-1.999362655778302,0.1860431645473196,0.8868323832590276,1.7255930463342988,1.2383102743366614,存货暴增 | 应收超单季收入,,,,1,1,8.51446,0,1.73452561,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
环旭电子,601231.SH,P1,46.2673,3.8732,>p90,>p90,多重扩张,417255380.35,602732431.91,1.4445168601646767,-0.040008369131566204,0.19134789292927823,0.6661912852452007,0.6493658328755253,,1324300626.0,89561199393.0,0.014786544117044349,3,4,-33.13362,0,6.00429662,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
歌尔股份,002241.SZ,P1,21.1891,2.2532,<p50,<p50,估值健康,502998588.66,-584755267.45,-1.1625385848652214,0.2997302773126949,0.2615691161601903,0.5789027947070986,0.7265864516865401,,,,,5,0,-157.69786499999998,0,2.09078852,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
蓝思科技,300433.SZ,P1,82.5882,5.201,>p90,>p90,多重扩张,-149600746.51,2013962152.11,-13.462246673851842,-0.1779712932956809,0.2014779514418784,0.5096573236644265,0.5475318369421261,,,,,25,0,-28.219454,0,55.96647528,高热度+大额净流出,,1,6,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
长盈精密,300115.SZ,P1,75.6399,4.879,p50-p75,p50-p75,估值健康,125232197.99,-176751691.98,-1.4113917572069916,0.5992519328127812,0.4135231730096845,0.895431488879407,0.9454469740687419,应收暴增 | 存货增长偏快,,,,0,0,-53.221778,0,-9.54780356,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
鹏鼎控股,002938.SZ,P1,70.5357,7.5573,>p90,>p90,多重扩张,462739621.4,3096604206.54,6.691893374445329,-0.06782325586416373,0.38469262559634915,0.4659151055860626,0.5524409313744406,存货增长偏快,,,,9,5,-45.570522,0,11.11712651,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
水晶光电,002273.SZ,P1,41.2348,4.8457,>p90,>p90,多重扩张,246676113.11,419456113.59,1.7004326373626308,0.17527992836103312,0.12773583613711223,0.7253099964628567,0.4645792721296126,,,,,1,2,20.071848000000003,0,10.29823691,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
昀冢科技,688260.SH,P1,,98.3508,N/A,N/A,N/A,,,,,,,,,336232799.0,15883200000.0,0.021169084252543567,0,4,4.754005,0,1.01964377,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
影石创新,688775.SH,P1,68.6639,9.9094,<p50,<p50,估值健康,84620184.44,-1471276010.05,-17.38682112059457,0.4905284585128257,2.067859907662878,0.12042793712950034,1.5292413493338608,应收增长偏快 | 存货暴增,591719591.0,37178997970.0,0.0159154260014609,0,0,-20.949282999999998,0,-1.25251013,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
恒玄科技,688608.SH,P1,53.559,3.6893,<p50,<p50,估值健康,89044102.72,1405260.81,0.01578162693624816,-0.32406082238967854,0.29028237974514226,0.5761626827663815,1.3333304200459974,,1183741249.0,26378950370.0,0.044874463630904506,0,0,-30.293449,0,-2.77189243,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
中科蓝讯,688332.SH,P1,17.7387,4.5853,<p50,>p90,资产重估型,-5869074.72,-24206000.04,4.124329846664484,-0.008623922558830138,0.05124649449664764,0.15502102656798047,1.8154491223831124,,652254269.0,24207961239.0,0.026943791860885507,0,0,2.365004,0,0.13216868,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
炬芯科技,688049.SH,P1,37.9051,3.8346,<p50,p50-p75,估值健康,48700478.23,-15786163.52,-0.3241480185357925,0.12857481248855157,0.3524804944912878,0.3346654936532722,1.520190349001238,存货增长偏快,539757176.0,8029687368.0,0.0672201981550423,0,0,-9.303666999999999,0,0.65136398,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
乐鑫科技,688018.SH,P1,53.4573,6.4183,<p50,p50-p75,估值健康,135642156.35,3417302.41,0.02519351285733228,-0.0756368861587351,0.5667360105147785,0.5075681889340006,1.1423258608301918,存货暴增,802058615.0,28855051173.0,0.02779612519802063,0,0,-6.22537,0,-2.43877104,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
天德钰,688252.SH,P1,44.1737,3.7532,p50-p75,<p50,估值健康,,,,,,,,,257649479.0,9231610741.0,0.02790948256252955,0,0,-2.9382099999999998,0,-0.25818083,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
新相微,688593.SH,P1,1139.5414,8.9961,p75-p90,p75-p90,偏高共识,,,,,,,,,504357642.0,13983479642.0,0.03606810714588803,0,0,4.553661,0,0.69300805,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
豪威集团,603501.SH,P1,31.0195,3.4774,<p50,<p50,估值健康,502949305.92,737078999.39,1.4655135034767124,0.09615815604840063,0.2749165503504081,0.6398555209473691,1.4627934505762694,,5646953814.0,109630876448.0,0.051508790196331755,2,1,-115.23183600000002,0,6.39618864,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
海光信息,688041.SH,P1,279.0647,32.3762,>p90,>p90,多重扩张,687094336.71,67617712.14,0.09841110387224632,0.9004526343179289,0.26560441509109095,0.9501919958913106,1.8180652138842321,应收暴增,11331104621.0,760755860130.0,0.014894534784212784,3,0,7.151910000000001,20,40.7019534,沪深港通 Top10 活跃、热榜较低,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
纳芯微,688052.SH,P1,,6.2448,N/A,>p90,N/A,-35736538.47,-192914490.42,5.398242210334592,0.5867913890265957,0.8068562061316663,0.6612753313043721,1.410292797392258,应收暴增 | 存货暴增,1790798278.0,41572683712.0,0.043076321230690336,0,0,13.518129,0,9.36861621,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
新洁能,605111.SH,P1,81.5239,7.1334,>p90,>p90,多重扩张,94543216.61,60157450.45,0.636295787334541,-0.16322178529401968,0.100850026869135,0.49565602871183934,0.6607489612153603,,973585444.0,30971351982.0,0.031435032108570224,1,2,0.761626,0,1.58754508,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
扬杰科技,300373.SZ,P1,50.7893,7.0244,>p90,>p90,多重扩张,384909639.0,172630474.22,0.4484961059133154,0.01762954945583436,0.3457041339209698,0.896836944626433,0.7813329468993125,存货增长偏快,,,,1,0,27.407655,0,-0.35459127,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华润微,688396.SH,P1,114.4745,4.4871,>p90,>p90,多重扩张,330002688.93,627349543.75,1.9010437332620433,0.15628515094217288,0.07679986309553376,0.5780938718842776,0.8195524060687159,,1720857584.0,103866076740.0,0.016568042598813962,0,0,6.648689999999999,0,7.76252294,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
风华高科,000636.SZ,P1,274.7752,6.7643,>p90,>p90,多重扩张,88559116.72,-217777503.54,-2.4591200952077426,0.03509816057928981,0.2089890975062064,0.9524688457930244,0.7835897788022046,,,,,32,9,-59.057442,0,24.99503217,高热度+大额净流出 | 热榜活跃、沪深港通 Top10 较低,,2,9,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
顺络电子,002138.SZ,P1,61.3163,9.3201,>p90,>p90,多重扩张,177881873.62,92391612.85,0.5193986940309134,0.07894880421511628,0.3700000602263943,1.4304694136776055,0.8646406248466488,存货增长偏快 | 应收超单季收入,,,,5,2,12.789714,0,4.57215263,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
法拉电子,600563.SH,P1,32.5449,6.1788,>p90,>p90,多重扩张,267736525.03,3220062.15,0.012026981188462016,-0.13011052556088615,0.11096423382775226,1.0902949834867985,0.7121683313489066,应收超单季收入,823582740.0,38911500000.0,0.021165535638564433,2,3,-21.044555,0,2.26212911,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
芯联集成,688469.SH,P1,,5.8236,N/A,N/A,N/A,-88363117.63,188264167.41,-2.1305740727518514,0.23509164621073145,-0.019166391526498266,0.9163425874075257,1.1362536984296119,,1592882975.0,52886898000.0,0.030118668994350926,0,0,-20.749786,0,3.95405688,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
长电科技,600584.SH,P1,98.9181,5.6813,>p90,>p90,多重扩张,290272770.67,1778902234.03,6.128381349459628,-0.01623588600255195,0.22304328539082308,0.5796018708596303,0.4806467590266198,,8254704162.0,163427235418.0,0.050509966352222956,43,4,-43.913413,5,50.05786525,高热度+大额净流出 | 热榜活跃、沪深港通 Top10 较低,,2,9,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
通富微电,002156.SZ,P1,74.7584,6.9055,p50-p75,>p90,资产重估型,329057400.55,941604157.66,2.861519467686076,0.12286794247872107,0.47486943010479904,0.7169998611213538,0.6430750690829384,存货增长偏快,,,,54,5,-98.72334000000001,10,24.07873153,高热度+大额净流出,,1,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
汇成股份,688403.SH,P1,292.7853,7.396,>p90,>p90,多重扩张,-12809187.46,82311632.69,-6.425983923417418,0.28295078517921646,0.18795130508281357,0.8248920130363857,0.9308451238154305,,1897457247.0,29668689707.999996,0.06395487180845608,0,0,-8.821802,0,10.65269456,,,0,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
中微公司,688012.SH,P1,127.982,14.3668,>p90,>p90,多重扩张,930487319.17,-158726143.08,-0.1705838863248396,0.6130198315939688,-0.025362545047171527,0.8802636610230139,2.490183104411931,应收暴增,4875689207.0,349247316020.0,0.013960563140650703,2,0,55.253087,8,9.41703624,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
拓荆科技,688072.SH,P1,128.6034,29.1777,>p90,>p90,多重扩张,570602298.59,-519847055.4,-0.9110497042941819,-0.11884798933709988,0.051386954580679045,1.2717106802833151,7.383405441274557,应收超单季收入,2702161420.0,211457190930.0,0.012778763437250585,0,0,24.562417,1,15.58111909,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
华海清科,688120.SH,P1,105.9676,15.0646,>p90,>p90,多重扩张,247304870.48,7891015.42,0.031908046957118706,0.7818522302195352,0.21269931724292943,1.0353615397420697,3.520338112525579,应收暴增 | 应收超单季收入,1380031136.0,116311281610.0,0.011864980910685366,0,0,31.096303999999996,0,2.93999446,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
京仪装备,688652.SH,P1,161.1084,11.3613,>p90,>p90,多重扩张,46444902.08,-37322120.91,-0.803578417405504,-0.6065365964824064,0.21955098183078633,0.5509827336490977,6.394560399105765,,323686065.0,18352792500.0,0.01763688359686952,0,0,21.597954,0,0.31730852,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
芯源微,688037.SH,P1,823.3812,20.7406,>p90,>p90,多重扩张,3508887.8,-343495575.79,-97.89300637940035,-0.27487771962858865,0.35850288755158577,1.1967305915248823,8.168096870502636,存货增长偏快 | 应收超单季收入,856014329.0,58092857676.0,0.014735276645783715,0,1,35.129815,0,5.60715159,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
盛美上海,688082.SH,P1,144.7693,13.3056,>p90,>p90,多重扩张,104288813.23,-143977201.03,-1.3805622728918265,0.44800301299422274,0.16461695666224374,2.2402798280765923,3.3934530912149006,应收增长偏快 | 应收超单季收入,1187966738.0,179574125820.0,0.00661546719258867,0,0,18.547185,0,4.07414002,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
富创精密,688409.SH,P1,873.7832,13.824,>p90,>p90,多重扩张,57944907.12,-85679940.74,-1.4786448887140782,0.2549530643142071,0.13549891149996982,1.5854499398006132,0.9880275249917022,应收超单季收入,881322924.0,62467003200.0,0.014108615410575676,0,1,26.234334000000004,0,2.74352287,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
珂玛科技,301611.SZ,P1,222.1844,30.0911,>p90,>p90,多重扩张,45887389.17,49321880.4,1.0748460806361453,0.4945709117246612,0.5210738793530667,2.1087489096634595,1.3201681885614132,应收增长偏快 | 存货暴增 | 应收超单季收入,,,,1,0,24.523951,0,3.5984398,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
兴森科技,002436.SZ,P1,627.7278,16.9736,>p90,>p90,多重扩张,18744694.13,-247107316.08,-13.18278731924019,0.15128751153396758,0.49974723468197185,1.2421818695778744,0.6339404062568657,存货增长偏快 | 应收超单季收入,,,,18,2,13.067368,0,9.73507924,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
胜宏科技,300476.SZ,P1,76.7366,20.6335,p75-p90,>p90,资产重估型,1288427592.46,2116658463.16,1.6428229848125617,0.15636144922689318,0.6759884892277124,1.0064670018104371,0.7075346650858381,存货暴增 | 应收超单季收入,,,,36,0,54.688283999999996,9,56.03434904,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
深南电路,002916.SZ,P1,85.7127,17.2204,>p90,>p90,多重扩张,850230796.58,247409844.58,0.2909913938370506,0.4254588558258102,0.7710301589244094,0.8868175667948227,0.9857094779168983,应收增长偏快 | 存货暴增,,,,5,4,-3.9023589999999997,1,5.91830185,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
世运电路,603920.SH,P1,74.5319,6.1897,>p90,p75-p90,利润压缩型,36632360.83,248625224.45,6.787037985452165,0.045817291155322105,0.42889305247549775,0.9947517743719474,0.6074434484941533,存货增长偏快,1776457743.0,40302727339.0,0.04407785428657489,2,5,-38.248777000000004,0,3.34191962,涨停频繁但未上榜,,1,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
奥士康,002913.SZ,P1,99.8632,4.8034,>p90,>p90,多重扩张,17450370.32,148701354.88,8.521386775934047,0.09275817454303478,0.4052085909960019,1.095041038389132,0.7573693175935823,存货增长偏快 | 应收超单季收入,,,,0,5,-6.515947,0,0.83844697,涨停频繁但未上榜,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
TCL 科技,000100.SZ,P1,20.5104,1.6558,<p50,p75-p90,估值健康,1556452595.0,11394756856.0,7.320979060078601,0.022793407957570778,0.0417061199402623,0.46563955039613014,0.4682319829236387,,,,,8,0,-123.21497099999999,0,11.04927988,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
京东方 A,000725.SZ,P1,43.1444,1.8863,p50-p75,>p90,资产重估型,1707220076.0,12299498803.0,7.204401457026915,-0.043677914508527836,0.006379915263663938,0.6235319794784919,0.5004569913853096,,,,,26,3,27.008196999999996,2,48.11120339,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
三利谱,002876.SZ,P1,111.8562,2.3479,>p90,p75-p90,利润压缩型,33317160.28,-121428736.83,-3.6446304489789485,0.12378422374572536,0.07749605458415901,1.1672950907907398,1.1396372158107313,应收超单季收入,,,,0,3,-2.466572,0,-0.27739062,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
木林森,002745.SZ,P1,,1.459,N/A,>p90,N/A,418738044.65,287475567.83,0.6865284191463542,0.1593480709613576,0.02184629444193638,0.9181559989773627,0.7710280646528805,,,,,0,1,-12.30387,0,0.64025533,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
聚灿光电,300708.SZ,P1,44.622,2.6661,p50-p75,<p50,估值健康,29594202.46,-256405613.67,-8.66404877835657,0.17984201868432353,1.253655268303605,1.3185967046591882,1.5741775227213977,存货暴增 | 应收超单季收入,,,,1,1,-31.557244,0,0.0,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
新益昌,688383.SH,P1,,15.5794,N/A,>p90,N/A,,,,,,,,,416875711.0,19500881025.0,0.021377275747981237,0,0,6.245471,0,1.31653042,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
